Player;ID;CG Hands;Tips;Profit;GameCode;DateStarted;GameType
QuietSTORM🤫⛈;#R8J0H;61;0;-292;65242517, 22332873;2020-12-25 04:01 ~ 2020-12-25 15:32;PLO
Ruthless Aggression;#23RYG;10;0;-52;;;
Sherin;#QV244;54;0;96;;;
RoWDy ReNJ;#TYK12;290;0;-834;;;
Jerry;#8VSST;48;0;79;;;
🤪Cr4zyJoe😜;#UKPZD;84;0;76;;;
RiverRat🐀;#JC56A;51;0;626;;;
MyBallsYourFace🏀🏀;#ZEA9N;342;0;109;;;
ChrisPoker;#AZ1H4;312;0;138;;;
Tino T;#ZRLP9;173;0;404;;;
snakeeyes;#ED1XF;84;0;-197;;;
RRinurchunthi;#VHUXD;58;0;-435;;;
Aytch;#MKJSU;68;0;-2;;;
Kracken1018;#A9J9W;136;0;-134;;;
Slick Willie;#DHJKS;386;0;-407;;;
Kimbo🎣Out🎣Fishing;#EDP8C;214;0;247;;;
Quads4u2nv;#XHFP2;321;0;-719;;;
Battery🔋;#LY0FH;457;0;749;;;
Jayan;#CPDCW;160;0;1759;;;
Jo Squared;#ZA721;136;0;-863;;;
Sam khien;#4P5SX;177;0;66;;;
Gdawg;#FXVZ4;146;0;-414;;;
